Containment_zones,ward,no,pin,address
"RN 579 400068 Chawl No.12,,Nr Dahisar Check Naka,Tare Compound,Dahisar East",RN,579,400068,"Chawl No.12,,Nr Dahisar Check Naka,Tare Compound,Dahisar East"
"RN 580 400068 Indira Nagar,Jaywant Sawant Marg,Opp Sai Amrut Bldg,Dahisar East",RN,580,400068,"Indira Nagar,Jaywant Sawant Marg,Opp Sai Amrut Bldg,Dahisar East"
"RN 581 400068 Ganeshkrupa Chawl,Sant Namdev Road,Waghdevi Nagar,Dahisar East",RN,581,400068,"Ganeshkrupa Chawl,Sant Namdev Road,Waghdevi Nagar,Dahisar East"
"RN 582 400068 Laxman Rathod Chawl,,Rawalpada,Dahisar East",RN,582,400068,"Laxman Rathod Chawl,,Rawalpada,Dahisar East"
"RN 583 400068 Haribhau Shelke Chawl,,Near Ashok Nagar, Ravalpada,Dahisar East",RN,583,400068,"Haribhau Shelke Chawl,,Near Ashok Nagar, Ravalpada,Dahisar East"
"RN 584 400068 New Ambika Sadan,C.S. Road No.2,Anand Nagar,Dahisar East",RN,584,400068,"New Ambika Sadan,C.S. Road No.2,Anand Nagar,Dahisar East"
"RN 585 400068 Bhiva Suthar Chawl,Shiv Vallabh Road,Ashokvan,Dahisar East",RN,585,400068,"Bhiva Suthar Chawl,Shiv Vallabh Road,Ashokvan,Dahisar East"
"RN 586 400068 Sanjog Nagar,Ghartan Pada No.2,,Dahisar East",RN,586,400068,"Sanjog Nagar,Ghartan Pada No.2,,Dahisar East"
"RN 587 400068 Sai Nath Chawl,Kokani Pada,,Dahisar East",RN,587,400068,"Sai Nath Chawl,Kokani Pada,,Dahisar East"
"RN 588 400068 Ganesh Bhai Desai Chawl,Ex Highway Santosh Nagar,Raval Pada,Dahisar East",RN,588,400068,"Ganesh Bhai Desai Chawl,Ex Highway Santosh Nagar,Raval Pada,Dahisar East"
"RN 589 400068 Nagvekar Compound,Near Rajtarang,Raval Pada,Dahisar East",RN,589,400068,"Nagvekar Compound,Near Rajtarang,Raval Pada,Dahisar East"
"RN 590 400068 Siddharth Mishra Chawl,Natuchi Chawl,Suvasini Pawaskar Rd,Near Nirankari Maharaj Math Gharatan Pada 1,Dahisar East",RN,590,400068,"Siddharth Mishra Chawl,Natuchi Chawl,Suvasini Pawaskar Rd,Near Nirankari Maharaj Math Gharatan Pada 1,Dahisar East"
"RN 591 400068 Shakar Papji Chawl,Ovari Pada,,Dahisar East",RN,591,400068,"Shakar Papji Chawl,Ovari Pada,,Dahisar East"
"RN 592 400068 Vijay Nagar,Kokani Pada,,Dahisar East",RN,592,400068,"Vijay Nagar,Kokani Pada,,Dahisar East"
"RN 593 400068 Suraj Bhau Chawl,,,Dahisar East",RN,593,400068,"Suraj Bhau Chawl,,,Dahisar East"
"RN 594 400068 Shri Sai Nath Wadi,Gahrtanpada,,Dahisar East",RN,594,400068,"Shri Sai Nath Wadi,Gahrtanpada,,Dahisar East"
"RN 595 400068 Ganesh Krupa Chawl,Sambhaji Nagar,Nr Siddheshwar Mandir,Dahisar East",RN,595,400068,"Ganesh Krupa Chawl,Sambhaji Nagar,Nr Siddheshwar Mandir,Dahisar East"
"RN 596 400068 Ganesh Society,Ghartan Pada No.2, Vaishali Nagar,Dahisar East",RN,596,400068,"Ganesh Society,Ghartan Pada No.2, Vaishali Nagar,Dahisar East"
"RN 597 400068 Mohan Arjun Bahadur Chawl,, Nr Vaishali Nagar,Opp Ayyappa Mandir,Dahisar East",RN,597,400068,"Mohan Arjun Bahadur Chawl,, Nr Vaishali Nagar,Opp Ayyappa Mandir,Dahisar East"
"RN 598 400068 Jan Jagruti Society,L M Road, Shastri Nagar, Kandarpada,,Dahisar East",RN,598,400068,"Jan Jagruti Society,L M Road, Shastri Nagar, Kandarpada,,Dahisar East"
"RN 599 400068 Shreelaxmi Niwas,Shiv Vallabh Cross Road, Nr Thakur Compound, Kokani Pada,Dahisar East",RN,599,400068,"Shreelaxmi Niwas,Shiv Vallabh Cross Road, Nr Thakur Compound, Kokani Pada,Dahisar East"
"RN 600 400068 Jai Ambe Chawl, Rajput Compound,Shiv Vallabh Cross Road, Nr. N G Park,Dahisar East",RN,600,400068,"Jai Ambe Chawl, Rajput Compound,Shiv Vallabh Cross Road, Nr. N G Park,Dahisar East"
"RN 601 400068 Kanjibhai Ishwarbhai Desai Chawl,Nr W E Highway,Ganesh Nagar,Dahisar East",RN,601,400068,"Kanjibhai Ishwarbhai Desai Chawl,Nr W E Highway,Ganesh Nagar,Dahisar East"
"RN 602 400068 Shree Ganesh Rahivai Seva Sangh, Nr N G Park Bldg. No.4,Kokani Pada,Dahisar East",RN,602,400068,"Shree Ganesh Rahivai Seva Sangh, Nr N G Park Bldg. No.4,Kokani Pada,Dahisar East"
"RN 603 400068 Manibai Damodar Chawl,Hanuman Tekdi, Kajupada,Dahisar East",RN,603,400068,"Manibai Damodar Chawl,Hanuman Tekdi, Kajupada,Dahisar East"
"RN 604 400068 Mahavir Nagar,S N Dube Road, Nr Prakash Chana Bhandar,,Rawal Pada,Dahisar East",RN,604,400068,"Mahavir Nagar,S N Dube Road, Nr Prakash Chana Bhandar,,Rawal Pada,Dahisar East"
"RN 605 400068 Sai Samarth Rahivasi Sangh,Kokani Pada,,Dahisar East",RN,605,400068,"Sai Samarth Rahivasi Sangh,Kokani Pada,,Dahisar East"
"RN 606 400068 Shivneri Chawl,C S Road,Nr Vidya Mandir,Dahisar East",RN,606,400068,"Shivneri Chawl,C S Road,Nr Vidya Mandir,Dahisar East"
"RN 607 400068 Tiwari Chawl,Ganesh Nagar,Rawal Pada, Ne W E Highway,Dahisar East",RN,607,400068,"Tiwari Chawl,Ganesh Nagar,Rawal Pada, Ne W E Highway,Dahisar East"
"RN 608 400068 Navrang Chawl, Lal Bahadur Shastri Nagar, Shivneri Ravinashi Sangh,Kandarpada,Dahisar East",RN,608,400068,"Navrang Chawl, Lal Bahadur Shastri Nagar, Shivneri Ravinashi Sangh,Kandarpada,Dahisar East"
"RN 609 400068 Godewar Matre,Narayan Matre Wadi Rd,,Dahisar East",RN,609,400068,"Godewar Matre,Narayan Matre Wadi Rd,,Dahisar East"
"RN 610 400068 Durga Niwas Pandey Nagar,Near Saibaba Mandir,S N Dubey Road,Dahisar East",RN,610,400068,"Durga Niwas Pandey Nagar,Near Saibaba Mandir,S N Dubey Road,Dahisar East"
"RN 611 400068 Matang Rishi Nagar,Mithagar Road,Kandarpada,Dahisar East",RN,611,400068,"Matang Rishi Nagar,Mithagar Road,Kandarpada,Dahisar East"
"RN 612 400068 Bhim Nagar Zopadpatt,I Matang Nagar Michel Wadi,C S Road Near Bhavdevi Mandir Kandarpada,Dahisar East",RN,612,400068,"Bhim Nagar Zopadpatt,I Matang Nagar Michel Wadi,C S Road Near Bhavdevi Mandir Kandarpada,Dahisar East"
"RN 613 400068 Gaiton Pada,Trimurti Chawl,,Dahisar East",RN,613,400068,"Gaiton Pada,Trimurti Chawl,,Dahisar East"
"RN 614 400068 Anand Nagar,Veer Sambhaji Nagar,,Dahisar East",RN,614,400068,"Anand Nagar,Veer Sambhaji Nagar,,Dahisar East"
"RN 615 400068 Haribhaya Chawl,Galli No.2,,Ketkipada,Dahisar East",RN,615,400068,"Haribhaya Chawl,Galli No.2,,Ketkipada,Dahisar East"
"RN 616 400068 Rajesh Compound,Koyla Bhagwan Chaw,Ratan Nagar Nagar,,Dahisar East",RN,616,400068,"Rajesh Compound,Koyla Bhagwan Chaw,Ratan Nagar Nagar,,Dahisar East"
"RN 617 400068 Pant Nagar Rahivasi Seva Sangh,Sant Kabir Marg Opp Godvari Schoo, New Ashok Nagar Kokani Pada,Dahisar East",RN,617,400068,"Pant Nagar Rahivasi Seva Sangh,Sant Kabir Marg Opp Godvari Schoo, New Ashok Nagar Kokani Pada,Dahisar East"
"RN 618 400068 Sahyadri Rahiwashi Seva Sangh Chawl, Kokani Pada, Sn Dubey Road,Dahisar East",RN,618,400068,"Sahyadri Rahiwashi Seva Sangh Chawl, Kokani Pada, Sn Dubey Road,Dahisar East"
"RN 619 400068 Ramchandra Chawl,S V Road Ambawadi, Near Radha Krishna Mandir,Dahisar East",RN,619,400068,"Ramchandra Chawl,S V Road Ambawadi, Near Radha Krishna Mandir,Dahisar East"
"RN 620 400068 Purshekhar Chawl,,,Dahisar East",RN,620,400068,"Purshekhar Chawl,,,Dahisar East"
"RN 621 400068 Ram Deva Yadav Chawl, Alknanda Maydan Shivaji Chok, Raval Pada,Dahisar East",RN,621,400068,"Ram Deva Yadav Chawl, Alknanda Maydan Shivaji Chok, Raval Pada,Dahisar East"
"RN 622 400068 Kadai Yadav Chawl,Sant Muktabai Marg Near Ganesh Mandir,Raval Pada,Dahisar East",RN,622,400068,"Kadai Yadav Chawl,Sant Muktabai Marg Near Ganesh Mandir,Raval Pada,Dahisar East"
"RN 623 400068 Shastrinagar Zopadpatt,L M Road,Near Mali Compound Navagaon,Dahisar East",RN,623,400068,"Shastrinagar Zopadpatt,L M Road,Near Mali Compound Navagaon,Dahisar East"
"RN 624 400068 Shanti Niwas Chawl,Shiv Vallabh Road Ashok Van, Near Sai Baba Mandir,Dahisar East",RN,624,400068,"Shanti Niwas Chawl,Shiv Vallabh Road Ashok Van, Near Sai Baba Mandir,Dahisar East"
"RN 625 400068 Narayan Lakhuchi Chwal,Near Vardh Vinayak Mander,,Dahisar East",RN,625,400068,"Narayan Lakhuchi Chwal,Near Vardh Vinayak Mander,,Dahisar East"
"RN 626 400068 Ramesh Marwari Chawl,Sant Mirabai Road, Suyog Nagar,Dahisar East",RN,626,400068,"Ramesh Marwari Chawl,Sant Mirabai Road, Suyog Nagar,Dahisar East"
"RN 627 400068 Harl Asish Chawa,Overi Pada,Sb Road Near Hill Park,Dahisar East",RN,627,400068,"Harl Asish Chawa,Overi Pada,Sb Road Near Hill Park,Dahisar East"
"RN 628 400068 Indrabhavan Yadav Chaw,,,Dahisar East",RN,628,400068,"Indrabhavan Yadav Chaw,,,Dahisar East"
"RN 629 400068 Ashok Nagar,,Rawalpada,Dahisar East",RN,629,400068,"Ashok Nagar,,Rawalpada,Dahisar East"
"RN 630 400068 T 25,Lilavanti Mistri Chawl D N, Dube Road Near Abdul Oil Store,Dahisar East",RN,630,400068,"T 25,Lilavanti Mistri Chawl D N, Dube Road Near Abdul Oil Store,Dahisar East"
"RN 631 400068 C-2,Balaji Nagar, C S Road C S Road,Dahisar East",RN,631,400068,"C-2,Balaji Nagar, C S Road C S Road,Dahisar East"
"RN 632 400068 16,B M Tiwari Chawl No 3,B M Tiwari Chawl No 3,Dahisar East",RN,632,400068,"16,B M Tiwari Chawl No 3,B M Tiwari Chawl No 3,Dahisar East"
"RN 633 400068 9,Jairam Bhagwati Chawl, Near Varadvinayak Mandir Sani Muktabai Marg Rawalpada,Dahisar East",RN,633,400068,"9,Jairam Bhagwati Chawl, Near Varadvinayak Mandir Sani Muktabai Marg Rawalpada,Dahisar East"
"RN 634 400068 Bhaskar Chawl,Navagaon Opp Suyog Buildg,Dahisar West",RN,634,400068,"Bhaskar Chawl,Navagaon Opp Suyog Buildg,Dahisar West"
"RN 635 400068 1,Bhoir Nagar,Ghartanpada-2,Dahisar East",RN,635,400068,"1,Bhoir Nagar,Ghartanpada-2,Dahisar East"
"RN 636 400068 Sai Kripa Chawl, Near L M Road Shiv Mandir, Kandarpada,Dahisar East",RN,636,400068,"Sai Kripa Chawl, Near L M Road Shiv Mandir, Kandarpada,Dahisar East"
"RN 637 400068 2,Shankar Rupaji Chawl,Ovaripada,Dahisar East",RN,637,400068,"2,Shankar Rupaji Chawl,Ovaripada,Dahisar East"
"RN 638 400068 2, New Ashok Nagar,Kokani Pada,Dahisar East",RN,638,400068,"2, New Ashok Nagar,Kokani Pada,Dahisar East"
"RN 639 400068 5, Ramdev Yadav Chawal S N Dube Road,Near 297 Last Bus Stop Shanti Nagar Kokani Pada,Dahisar East",RN,639,400068,"5, Ramdev Yadav Chawal S N Dube Road,Near 297 Last Bus Stop Shanti Nagar Kokani Pada,Dahisar East"
"RN 640 400068 E-17, C Sn Dubey Rd,Opp Shani Mandir,Dahisar East",RN,640,400068,"E-17, C Sn Dubey Rd,Opp Shani Mandir,Dahisar East"
"RN 641 400068 284,Sainath Nagar Chawl No 1, Parbat Nagar Sv Road,Dahisar East",RN,641,400068,"284,Sainath Nagar Chawl No 1, Parbat Nagar Sv Road,Dahisar East"
"RN 642 400068 32 G,Ketaki Pada Vaishali Nagar, Hanuman Chawl,Dahisar East",RN,642,400068,"32 G,Ketaki Pada Vaishali Nagar, Hanuman Chawl,Dahisar East"
"RN 643 400068 8,Bajrangi Chawl No 9,Near W-E Highway Rawalpada Ganesh Nagar,Dahisar East",RN,643,400068,"8,Bajrangi Chawl No 9,Near W-E Highway Rawalpada Ganesh Nagar,Dahisar East"
"RN 644 400068 4,Sai Kripa Chawl No 4,Near Dr Vaishya Nagar Rawal Pada,Dahisar East",RN,644,400068,"4,Sai Kripa Chawl No 4,Near Dr Vaishya Nagar Rawal Pada,Dahisar East"
"RN 645 400068 21,Dr Dubey Compound Sv Road,Opp Beliram Insustrial Estate Near Jay Mari Gardan,Dahisar East",RN,645,400068,"21,Dr Dubey Compound Sv Road,Opp Beliram Insustrial Estate Near Jay Mari Gardan,Dahisar East"
"RN 646 400068 18,Patel Chawl Hari Krishna Cms S N Dubey Road,Patel Chawl Hari Krishna Cms S N Dubey Road,Dahisar East",RN,646,400068,"18,Patel Chawl Hari Krishna Cms S N Dubey Road,Patel Chawl Hari Krishna Cms S N Dubey Road,Dahisar East"
"RN 647 400068 5,Gallino 3 Krishma Nagar Rawal Pada,S N Dubey Road,Dahisar East",RN,647,400068,"5,Gallino 3 Krishma Nagar Rawal Pada,S N Dubey Road,Dahisar East"
"RN 648 400068 2,Shiv Krupa Chawl Sambhaji Nagar Sv Road,Ashokvan,Dahisar East",RN,648,400068,"2,Shiv Krupa Chawl Sambhaji Nagar Sv Road,Ashokvan,Dahisar East"
"RN 649 400068 1/3,Desai Chawl Shiv Vallabh Road,Ashokvan,Dahisar East",RN,649,400068,"1/3,Desai Chawl Shiv Vallabh Road,Ashokvan,Dahisar East"
"RN 650 400068 Shree Sai Baba Nagar, Kandar Pada,Dahisar West",RN,650,400068,"Shree Sai Baba Nagar, Kandar Pada,Dahisar West"
"RN 651 400068 15,Rama Niwas Chandrama Dubey Chaw,Rawal Pada,Dahisar East",RN,651,400068,"15,Rama Niwas Chandrama Dubey Chaw,Rawal Pada,Dahisar East"
"RN 652 400068 8,Rambhagat Yadav Chawal,Ambavadi,Dahisar East",RN,652,400068,"8,Rambhagat Yadav Chawal,Ambavadi,Dahisar East"
"RN 653 400068 49,Rajendra Nagar,Y R Tawde Rd,Dahisar East",RN,653,400068,"49,Rajendra Nagar,Y R Tawde Rd,Dahisar East"
"RN 654 400068 1, Kumud Bhawan,Waman Bhoir Nagar, Kandarpada,Dahisar East",RN,654,400068,"1, Kumud Bhawan,Waman Bhoir Nagar, Kandarpada,Dahisar East"
"RN 655 400068 18,Ambhi Krupa Chwal No 5,Ambhi Krupa Chwal No 5,Dahisar East",RN,655,400068,"18,Ambhi Krupa Chwal No 5,Ambhi Krupa Chwal No 5,Dahisar East"
"RN 656 400092 49, Omseva Society,Ln Road Navagaon,Dahisar West",RN,656,400092,"49, Omseva Society,Ln Road Navagaon,Dahisar West"
"RN 657 400092 A 3,Disilva Wadi Navagaon,Opp Dwarkesh Dham,Dahisar West",RN,657,400092,"A 3,Disilva Wadi Navagaon,Opp Dwarkesh Dham,Dahisar West"
"RN 658 400103 Ganapat Patil Nagar,New Link Road,I C Colony,Dahisar West",RN,658,400103,"Ganapat Patil Nagar,New Link Road,I C Colony,Dahisar West"
"RN 659 400103 Shivaji Nagar Slum,L.M. Road,Shivaji Nagar,Dahisar West",RN,659,400103,"Shivaji Nagar Slum,L.M. Road,Shivaji Nagar,Dahisar West"
"RN 660 400103 Om Sai Welfare Society,Rto Road,Kandarpada,Dahisar West",RN,660,400103,"Om Sai Welfare Society,Rto Road,Kandarpada,Dahisar West"
"RN 661 400103 Panchsheel Nagar,L M Road,,Borivali West",RN,661,400103,"Panchsheel Nagar,L M Road,,Borivali West"
"RN 662 400103 Sai Kripa Chawl,L.M. Road,Shiv Mandir Kandarpada,Dahisar West",RN,662,400103,"Sai Kripa Chawl,L.M. Road,Shiv Mandir Kandarpada,Dahisar West"
"RN 663 400103 Panchasheel Nagar,L.M. Road,,Dahisar West",RN,663,400103,"Panchasheel Nagar,L.M. Road,,Dahisar West"
"RN 664 400103 Shivneri,Panchsheel Nagar, Laxman Mhatre Nagar, Borivali West",RN,664,400103,"Shivneri,Panchsheel Nagar, Laxman Mhatre Nagar, Borivali West"
"RN 665 400103 Shivaji Nagar,L M Road, Shastri Nagar,,Borivali West",RN,665,400103,"Shivaji Nagar,L M Road, Shastri Nagar,,Borivali West"
"RN 666 400103 Madona Colony,Sainath Nagar,,Borivali West",RN,666,400103,"Madona Colony,Sainath Nagar,,Borivali West"
"RN 667 400103 Shanti Nagar,Js Road,,Dahisar West",RN,667,400103,"Shanti Nagar,Js Road,,Dahisar West"
"RS 668 400067 ,Laljipada / Gandhi Nagar,Kandivali West",RS,668,400067,",Laljipada / Gandhi Nagar,Kandivali West"
"RS 669 400067 ,Laljipada / Sanjay Nagar,Kandivali West",RS,669,400067,",Laljipada / Sanjay Nagar,Kandivali West"
"RS 670 400067 ,Laljipada / Ekta Nagar,Kandivali West",RS,670,400067,",Laljipada / Ekta Nagar,Kandivali West"
"RS 671 400067 ,Laljipada,Kandivali West",RS,671,400067,",Laljipada,Kandivali West"
"RS 672 400067 ,Abhilakh Nagar / Iraniwadi Road No.4,Kandivali West",RS,672,400067,",Abhilakh Nagar / Iraniwadi Road No.4,Kandivali West"
"RS 673 400067 ,Ragada Pada, Irani Wadi Road No 4,Kandivali West",RS,673,400067,",Ragada Pada, Irani Wadi Road No 4,Kandivali West"
"RS 674 400067 ,Sai Nagar Kandivali West,Kandivali West",RS,674,400067,",Sai Nagar Kandivali West,Kandivali West"
"RS 675 400067 ,Khan Gulli, Kd Comnpound, 90Ft D.P Rd South Boundary,Kandivali West",RS,675,400067,",Khan Gulli, Kd Comnpound, 90Ft D.P Rd South Boundary,Kandivali West"
"RS 676 400067 ,Islam Compound, Kd Comnpound, Mg Rd North Boundary,Kandivali West",RS,676,400067,",Islam Compound, Kd Comnpound, Mg Rd North Boundary,Kandivali West"
"RS 677 400067 ,Hanuman Nagar / Ayappa Mandir,Kandivali East",RS,677,400067,",Hanuman Nagar / Ayappa Mandir,Kandivali East"
"RS 678 400067 ,Bunderpakahadi North Zone,Kandivali West",RS,678,400067,",Bunderpakahadi North Zone,Kandivali West"
"RS 679 400067 ,Shravan Nagar & Adarsh Nagar, Mhada Ekta,Kandivali West",RS,679,400067,",Shravan Nagar & Adarsh Nagar, Mhada Ekta,Kandivali West"
"RS 680 400067 ,Babrekar Nagar,Kandivali West",RS,680,400067,",Babrekar Nagar,Kandivali West"
"RS 681 400067 ,Charkop Gaothan,Kandivali West",RS,681,400067,",Charkop Gaothan,Kandivali West"
"RS 682 400067 ,Holy Cross Poisar Slum,Kandivali West",RS,682,400067,",Holy Cross Poisar Slum,Kandivali West"
"RS 683 400067 ,Dingeshwar Talav,Kandivali West",RS,683,400067,",Dingeshwar Talav,Kandivali West"
"RS 684 400067 ,Kandivali Goathan Vadarpada,Kandivali West",RS,684,400067,",Kandivali Goathan Vadarpada,Kandivali West"
"RS 685 400067 ,Ganga Nagar, Thakur Complex,Kandivali East",RS,685,400067,",Ganga Nagar, Thakur Complex,Kandivali East"
"RS 686 400101 ,Bhim Nagar, 12 Nal, Satara Camp, Gandhi Nagar, Nalanda Budhvihar,Kandivali East",RS,686,400101,",Bhim Nagar, 12 Nal, Satara Camp, Gandhi Nagar, Nalanda Budhvihar,Kandivali East"
"RS 687 400101 ,Mahindra Compound, Damu Nagar,Kandivali East",RS,687,400101,",Mahindra Compound, Damu Nagar,Kandivali East"
"RS 688 400101 ,Panchayat Samitee,Kandivali East",RS,688,400101,",Panchayat Samitee,Kandivali East"
"RS 689 400101 ,Laxmi Nagar, Barkiya Rama Compound And Azadwadi,Kandivali East",RS,689,400101,",Laxmi Nagar, Barkiya Rama Compound And Azadwadi,Kandivali East"
"RS 690 400101 ,Sigh Estate (Part), Azadwadi,Kandivali East",RS,690,400101,",Sigh Estate (Part), Azadwadi,Kandivali East"
"RS 691 400101 ,Sigh Estate,Kandivali East",RS,691,400101,",Sigh Estate,Kandivali East"
"RS 692 400101 ,Narshipada / Janupada,Kandivali East",RS,692,400101,",Narshipada / Janupada,Kandivali East"
"RS 693 400101 ,Narshipada / Durga Mata Mandir,Kandivali East",RS,693,400101,",Narshipada / Durga Mata Mandir,Kandivali East"
"RS 694 400101 ,Hanuman Nagar / Balaji Inds Estate.,Kandivali East",RS,694,400101,",Hanuman Nagar / Balaji Inds Estate.,Kandivali East"
"RS 695 400101 ,Hanuman Nagar /Pal School,Kandivali East",RS,695,400101,",Hanuman Nagar /Pal School,Kandivali East"
"RS 696 400101 ,Hanuman Nagar / Lokmanya Chawl,Kandivali East",RS,696,400101,",Hanuman Nagar / Lokmanya Chawl,Kandivali East"
"RS 697 400101 ,Ambedkar Nagar, Poisar,Kandivali East",RS,697,400101,",Ambedkar Nagar, Poisar,Kandivali East"
"RS 698 400101 ,Donkey Compound, Indira Chowk, Poisar,Kandivali East",RS,698,400101,",Donkey Compound, Indira Chowk, Poisar,Kandivali East"
"RS 699 400101 ,Shivaji Maidan, Poisar,Kandivali East",RS,699,400101,",Shivaji Maidan, Poisar,Kandivali East"
"RS 700 400101 ,Adarsh Nagar, Poisar,Kandivali East",RS,700,400101,",Adarsh Nagar, Poisar,Kandivali East"
"RS 701 400101 ,Ram Nagar, Poisar,Kandivali East",RS,701,400101,",Ram Nagar, Poisar,Kandivali East"
"RS 702 400101 ,Nivruddin Chawl, Poisar,Kandivali East",RS,702,400101,",Nivruddin Chawl, Poisar,Kandivali East"
"RS 703 400101 ,Bhajiwadi, Poisar,Kandivali East",RS,703,400101,",Bhajiwadi, Poisar,Kandivali East"
"RS 704 400101 ,Janata Nagar, Poisar,Kandivali East",RS,704,400101,",Janata Nagar, Poisar,Kandivali East"
"RS 705 400101 ,Chikalwadi, Poisar,Kandivali East",RS,705,400101,",Chikalwadi, Poisar,Kandivali East"
"RS 706 400101 ,Pandey Compound, Thakur Village,Kandivali East",RS,706,400101,",Pandey Compound, Thakur Village,Kandivali East"
"RS 707 400101 ,Janupada, Thakur Village,Kandivali East",RS,707,400101,",Janupada, Thakur Village,Kandivali East"
"RS 708 400101 ,Bandongri,Kandivali East",RS,708,400101,",Bandongri,Kandivali East"
"RS 709 400101 ,Anna Nagar, M.D.Road,Kandivali East",RS,709,400101,",Anna Nagar, M.D.Road,Kandivali East"
"RS 710 400101 ,Vaibhav Nagar,Kandivali East",RS,710,400101,",Vaibhav Nagar,Kandivali East"
"RS 711 400101 ,Kaju Pada, Poisar,Kandivali East",RS,711,400101,",Kaju Pada, Poisar,Kandivali East"
"RS 712 400101 ,Hanuman Nagar / Vadarpda Road No. 2,Kandivali East",RS,712,400101,",Hanuman Nagar / Vadarpda Road No. 2,Kandivali East"
"RS 713 400101 ,Narshipada / Saraswati Chawl,Kandivali East",RS,713,400101,",Narshipada / Saraswati Chawl,Kandivali East"
"S 714 400042 ,Bhandup Gaon,Bhadup (E)",S,714,400042,",Bhandup Gaon,Bhadup (E)"
"S 715 400042 ,Ramngr,Kanjurmarg (E)",S,715,400042,",Ramngr,Kanjurmarg (E)"
"S 716 400042 ,Ashok Ngr,Kanjurmarg (E)",S,716,400042,",Ashok Ngr,Kanjurmarg (E)"
"S 717 400042 ,Kanjur Village,Kanjurmarg (E)",S,717,400042,",Kanjur Village,Kanjurmarg (E)"
"S 718 400072 ,Milind Nagr,Powai",S,718,400072,",Milind Nagr,Powai"
"S 719 400076 ,Phule Nagar,Powai",S,719,400076,",Phule Nagar,Powai"
"S 720 400076 ,Gautam Ngr,Powai",S,720,400076,",Gautam Ngr,Powai"
"S 721 400076 ,Gautam Ngr,Powai",S,721,400076,",Gautam Ngr,Powai"
"S 722 400076 ,Gokhale Ngr, Chaitanya Ngr,Powai",S,722,400076,",Gokhale Ngr, Chaitanya Ngr,Powai"
"S 723 400076 ,Tirandaj Village,Powai",S,723,400076,",Tirandaj Village,Powai"
"S 724 400076 ,Morarji Compound,Powai",S,724,400076,",Morarji Compound,Powai"
"S 725 400076 ,Panchkutir,Powai",S,725,400076,",Panchkutir,Powai"
"S 726 400076 ,Swami Narayan Nagar,Powai",S,726,400076,",Swami Narayan Nagar,Powai"
"S 727 400076 ,Shah Compound,Powai",S,727,400076,",Shah Compound,Powai"
"S 728 400078 ,Khindipada,Bhandup (W)",S,728,400078,",Khindipada,Bhandup (W)"
"S 729 400078 ,Vishwashanti,Bhandup (W)",S,729,400078,",Vishwashanti,Bhandup (W)"
"S 730 400078 ,Ramanagar Tanaji Wadi,Bhandup (W)",S,730,400078,",Ramanagar Tanaji Wadi,Bhandup (W)"
"S 731 400078 ,Waghoba Wadi,Bhandup (W)",S,731,400078,",Waghoba Wadi,Bhandup (W)"
"S 732 400078 ,Tulshetpada,Bhandup (W)",S,732,400078,",Tulshetpada,Bhandup (W)"
"S 733 400078 ,Shashtri Nagar,Bhandup (W)",S,733,400078,",Shashtri Nagar,Bhandup (W)"
"S 734 400078 ,Sonapur,Bhandup (W)",S,734,400078,",Sonapur,Bhandup (W)"
"S 735 400078 ,Ceat Tire Road,Bhandup (W)",S,735,400078,",Ceat Tire Road,Bhandup (W)"
"S 736 400078 ,Pratap Nagar,Bhandup (W)",S,736,400078,",Pratap Nagar,Bhandup (W)"
"S 737 400078 ,Kamble Compound,Bhandup (W)",S,737,400078,",Kamble Compound,Bhandup (W)"
"S 738 400078 ,Jokhim Compound,Bhandup (W)",S,738,400078,",Jokhim Compound,Bhandup (W)"
"S 739 400078 ,Munshi Mahal,Bhandup (W)",S,739,400078,",Munshi Mahal,Bhandup (W)"
"S 740 400078 ,Maroda Hill,Bhandup (W)",S,740,400078,",Maroda Hill,Bhandup (W)"
"S 741 400078 ,Lokmanya Ngr, Sarvoday Ngr,Bhandup (W)",S,741,400078,",Lokmanya Ngr, Sarvoday Ngr,Bhandup (W)"
"S 742 400078 ,Tembhidada,Bhandup (W)",S,742,400078,",Tembhidada,Bhandup (W)"
"S 743 400078 ,Patkar Compound,Bhandup (W)",S,743,400078,",Patkar Compound,Bhandup (W)"
"S 744 400078 ,Gautam Ngr,Bhandup (W)",S,744,400078,",Gautam Ngr,Bhandup (W)"
"S 745 400078 ,Sai Hill,Bhandup (W)",S,745,400078,",Sai Hill,Bhandup (W)"
"S 746 400078 ,Ganesh Ngr,Bhandup (W)",S,746,400078,",Ganesh Ngr,Bhandup (W)"
"S 747 400078 ,Utkarsh Ngr 114,Bhandup (W)",S,747,400078,",Utkarsh Ngr 114,Bhandup (W)"
"S 748 400078 ,Shivaji Ngr,Bhandup (W)",S,748,400078,",Shivaji Ngr,Bhandup (W)"
"S 749 400078 ,Kaju Tekadi,Bhandup (W)",S,749,400078,",Kaju Tekadi,Bhandup (W)"
"S 750 400078 ,Kokan Nagar,Bhandup (W)",S,750,400078,",Kokan Nagar,Bhandup (W)"
"S 751 400078 ,Pathan Colony,Bhandup (W)",S,751,400078,",Pathan Colony,Bhandup (W)"
"S 752 400078 ,Utakarsh Nagar 115,Bhandup (W)",S,752,400078,",Utakarsh Nagar 115,Bhandup (W)"
